SEZIONE,ANTONIO GISONNI,MARCO PETRIZZELLI,CARLO DE FELICI,ROBERTA DELLA CASA,MARZIA COLLEPICCOLO,DANILO BARBUTO,ROBERTO SANTORO,FEDERICO SCIARRA,FRANCESCO DI BELLA,MASSIMILIANO UMBERTI,TOTALE,AFFLUENZA
173,0,2,8,62,9,3,139,95,6,122,446,0.49776785714285715
174,1,0,6,68,3,0,160,88,1,145,472,0.5639187574671446
175,1,1,2,64,5,0,154,53,6,127,413,0.4934289127837515
176,1,2,2,58,3,4,117,35,4,106,332,0.5060975609756098
177,2,2,1,57,2,4,142,35,2,96,343,0.4369426751592357
178,0,4,6,54,6,5,136,38,2,103,354,0.48360655737704916
179,0,2,3,53,9,2,174,39,1,114,397,0.5176010430247718
180,0,0,3,66,5,1,166,35,3,111,390,0.5735294117647058
181,3,1,4,76,1,0,103,24,1,85,298,0.4775641025641026
182,0,1,1,68,3,1,105,23,2,75,279,0.5244360902255639
183,1,0,2,65,5,4,133,27,6,90,333,0.43873517786561267
184,1,1,3,62,5,4,167,50,2,152,447,0.5545905707196029
185,4,4,8,146,9,2,186,46,11,140,556,0.6164079822616408
186,1,4,0,65,2,0,199,39,1,91,402,0.6137404580152672
187,0,2,6,55,2,2,199,47,2,117,432,0.5339925834363412
188,1,1,4,65,7,3,160,27,2,83,353,0.4985875706214689
189,1,2,2,47,5,1,157,44,0,80,339,0.47214484679665736
190,1,1,2,49,3,1,208,24,2,92,383,0.48055207026348806
191,1,5,1,64,3,1,111,68,14,108,376,0.5
192,0,5,5,92,7,1,106,43,6,148,413,0.5874822190611664
193,0,2,12,49,6,0,94,20,3,112,298,0.3860103626943005
194,1,1,2,40,8,0,94,16,0,90,252,0.36103151862464183
195,1,10,3,51,2,2,51,6,1,118,245,0.40229885057471265
196,0,5,6,36,2,1,67,17,5,73,212,0.36177474402730375
197,2,1,10,69,5,3,110,32,5,115,352,0.47248322147651006
198,1,1,6,87,7,3,129,28,2,117,381,0.42286348501664817
199,0,2,5,58,6,4,86,42,9,151,363,0.49387755102040815
200,1,1,6,107,5,0,121,40,7,125,413,0.5315315315315315
201,3,1,4,106,3,4,178,50,3,137,489,0.49244712990936557
202,3,2,5,134,11,5,143,74,6,156,539,0.536318407960199
203,0,1,5,65,5,8,192,57,6,148,487,0.5369349503858876
204,0,2,2,80,6,1,172,55,7,100,425,0.5862068965517241
205,0,2,3,77,6,1,123,39,5,111,367,0.4332939787485242
206,1,1,1,68,6,0,126,61,3,96,363,0.4820717131474104
236,0,2,7,62,2,0,113,74,3,217,480,0.564042303172738
237,0,1,5,53,6,3,130,83,3,196,480,0.583232077764277
238,2,2,3,49,2,1,136,92,4,218,509,0.5877598152424942
239,1,4,7,83,4,11,131,91,2,238,572,0.6643437862950058
240,3,1,4,96,3,2,131,56,3,192,491,0.5290948275862069
241,1,1,8,63,5,1,138,35,3,139,394,0.44620611551528877
242,0,2,14,64,5,0,180,37,6,86,394,0.4147368421052632
243,2,4,6,78,8,1,206,82,2,185,574,0.5734265734265734
244,2,2,3,116,8,2,159,108,10,186,596,0.5554520037278659
245,2,1,5,112,3,3,136,69,4,128,463,0.5173184357541899
246,0,5,7,81,6,0,82,70,11,275,537,0.6288056206088993
247,1,2,3,38,3,4,96,75,3,213,438,0.6143057503506312
248,1,0,5,89,5,1,134,45,6,192,478,0.5074309978768577
249,2,2,6,58,9,4,124,88,1,222,516,0.6362515413070283
250,0,0,8,74,8,0,99,75,3,225,492,0.5822485207100592
251,1,3,5,80,9,0,131,91,4,281,605,0.6308654848800834
252,0,0,7,53,7,3,151,52,29,125,427,0.4508975712777191
253,4,1,1,31,3,1,61,10,0,42,154,0.4827586206896552
254,1,4,11,89,5,2,161,39,5,130,447,0.44345238095238093
255,0,2,52,66,6,2,189,58,3,126,504,0.47412982126058323
256,0,4,10,64,4,2,161,43,6,121,415,0.4964114832535885
257,0,3,9,81,7,0,222,55,2,150,529,0.5627659574468085
258,2,5,7,81,2,1,147,41,11,138,435,0.4593453009503696
259,0,2,4,89,1,2,170,36,7,98,409,0.573632538569425
260,0,1,5,56,4,3,203,35,0,84,391,0.47741147741147744
261,0,1,11,79,8,1,100,35,1,109,345,0.48936170212765956
262,0,2,2,172,6,2,252,60,0,148,644,0.645937813440321
263,2,3,6,126,5,1,180,75,2,182,582,0.6264800861141012
265,2,5,7,144,9,1,193,56,5,151,573,0.596875
266,1,6,6,133,4,0,193,55,1,152,551,0.6156424581005586
267,1,6,1,115,7,1,233,69,2,137,572,0.673733804475854
268,0,3,10,71,7,0,117,37,2,138,385,0.3981385729058945
269,0,7,4,102,9,1,153,37,4,140,457,0.5382803297997645
270,1,5,4,94,7,1,150,55,3,114,434,0.5794392523364486
271,1,1,8,62,5,6,104,26,2,61,276,0.4046920821114369
272,0,2,7,43,4,0,81,9,0,63,209,0.324031007751938
273,0,4,14,114,5,6,79,21,3,65,311,0.3961783439490446
274,0,1,11,93,9,2,87,15,3,69,290,0.40166204986149584
275,1,0,10,70,2,0,93,7,3,72,258,0.36033519553072624
276,3,3,8,101,8,1,82,12,0,55,273,0.35968379446640314
277,1,4,7,85,6,0,136,29,4,142,414,0.5067319461444308
278,2,5,9,93,7,2,180,36,1,159,494,0.5550561797752809
279,0,4,11,55,3,1,78,7,0,50,209,0.26422250316055623
280,0,0,41,83,6,4,90,8,0,36,268,0.2677322677322677
281,0,0,23,86,6,4,94,11,0,63,287,0.3228346456692913
282,1,2,6,61,5,0,93,5,1,60,234,0.2969543147208122
283,1,0,8,77,2,1,88,13,0,46,236,0.38003220611916266
284,1,2,3,92,9,0,140,32,0,126,405,0.4383116883116883
376,1,3,4,55,4,0,213,47,2,79,408,0.4410810810810811
377,0,6,13,109,7,1,141,77,1,181,536,0.5744908896034298
378,1,1,0,107,7,7,166,45,2,159,495,0.6378865979381443
379,0,2,6,124,3,2,178,68,0,196,579,0.5884146341463414
380,5,0,6,167,7,2,202,62,3,207,661,0.6014558689717925
381,1,3,5,90,5,1,126,15,3,103,352,0.39111111111111113
382,0,2,2,79,5,1,91,21,3,86,290,0.4595879556259905
383,0,3,1,108,5,0,121,37,4,120,399,0.5108834827144686
384,1,1,1,87,1,1,196,39,3,112,442,0.32075471698113206
385,1,1,2,159,10,3,248,44,6,165,639,0.5254934210526315
386,0,2,2,79,9,6,93,24,1,75,291,0.5034602076124568
387,2,2,3,92,5,0,174,33,0,77,388,0.3038371182458888
388,0,0,5,98,4,1,183,16,2,91,400,0.3194888178913738
389,1,1,3,110,8,0,331,34,1,98,587,0.47996729354047424
390,4,1,10,101,6,3,227,33,1,116,502,0.4121510673234811
402,0,3,6,105,7,6,190,77,6,174,574,0.5482330468003821
403,3,1,4,58,3,5,146,32,0,111,363,0.502770083102493
404,1,0,5,74,8,5,175,42,4,119,433,0.5118203309692672
405,3,1,4,58,6,9,157,32,0,114,384,0.5260273972602739
406,0,1,13,59,6,6,164,40,1,118,408,0.5171102661596958
407,0,5,15,52,4,7,268,65,2,195,613,0.6093439363817097
408,1,1,10,39,7,6,127,37,4,95,327,0.4579831932773109
409,0,0,8,43,3,19,145,25,0,91,334,0.5007496251874063
410,1,1,13,79,3,2,149,40,3,98,389,0.46642685851318944
411,0,0,8,70,2,6,184,28,0,167,465,0.4967948717948718
449,0,4,5,79,3,1,113,27,3,85,320,0.6387225548902196
537,1,2,4,73,1,1,154,39,2,90,367,0.49594594594594593
538,2,1,5,53,6,1,159,45,2,99,373,0.4888597640891219
539,1,1,1,52,3,4,217,66,2,86,433,0.5385572139303483
540,1,2,5,51,2,0,152,55,2,100,370,0.5346820809248555
541,0,3,1,57,4,2,155,64,4,102,392,0.5632183908045977
542,2,0,6,53,4,3,134,52,0,91,345,0.5073529411764706
543,0,1,4,57,0,3,116,37,0,113,331,0.43324607329842935
544,0,1,5,53,3,2,120,38,1,89,312,0.4495677233429395
545,2,1,2,52,3,0,148,46,5,128,387,0.48134328358208955
546,0,2,9,68,6,0,158,48,1,177,469,0.5403225806451613
547,2,1,2,55,7,1,117,60,0,125,370,0.5082417582417582
548,5,2,0,78,2,5,145,60,2,122,421,0.5146699266503667
549,2,1,1,54,4,1,132,44,1,128,368,0.5443786982248521
550,1,1,7,50,4,4,144,27,2,74,314,0.435506241331484
551,2,2,9,47,5,3,129,25,2,74,298,0.473015873015873
552,0,3,3,77,4,1,181,73,3,109,454,0.5022123893805309
553,1,1,7,80,4,0,199,31,4,96,423,0.501779359430605
554,0,0,4,51,13,4,167,46,0,94,379,0.5163487738419619
555,1,2,7,73,5,0,164,17,1,79,349,0.4225181598062954
556,0,3,0,52,9,0,116,36,2,256,474,0.531390134529148
557,3,1,3,40,6,1,140,21,2,133,350,0.45278137128072443
558,1,4,7,61,3,4,111,39,5,166,401,0.5353805073431241
559,0,1,8,66,5,1,102,17,2,154,356,0.4791386271870794
560,0,0,1,43,5,0,88,63,1,143,344,0.5910652920962199
561,0,4,19,70,8,4,157,54,3,197,516,0.5408805031446541
562,5,4,8,64,6,3,169,70,3,143,475,0.4947916666666667
563,1,4,8,109,8,2,209,69,2,175,587,0.5485981308411215
564,0,2,11,51,10,4,148,27,12,96,361,0.3993362831858407
565,2,1,7,57,10,3,120,18,9,67,294,0.42
566,0,1,3,54,6,3,165,16,3,80,331,0.39171597633136096
567,0,1,11,112,5,13,147,29,1,90,409,0.4653014789533561
568,10,3,9,122,3,2,178,96,3,202,628,0.5820203892493049
569,3,1,8,53,7,2,92,44,5,107,322,0.4014962593516209
570,2,2,5,63,7,1,111,20,9,82,302,0.4241573033707865
571,10,1,4,67,4,2,118,56,6,141,409,0.5595075239398085
572,4,1,11,97,5,2,140,73,2,109,444,0.5051194539249146
573,3,4,2,83,6,6,153,89,0,119,465,0.6431535269709544
574,0,2,1,63,1,2,96,70,1,161,397,0.637239165329053
575,9,2,6,63,13,0,144,69,0,130,436,0.6184397163120567
576,0,1,1,84,5,1,154,67,3,149,465,0.5946291560102301
644,0,1,1,75,7,1,140,55,6,156,442,0.5747724317295189
645,0,3,6,97,6,3,139,78,1,191,524,0.5701849836779108
646,0,4,6,79,5,2,132,63,9,148,448,0.49612403100775193
647,0,3,6,71,2,0,136,60,8,164,450,0.5769230769230769
648,4,2,4,87,4,1,151,77,3,214,547,0.5686070686070686
649,0,0,3,60,12,2,131,63,9,225,505,0.6047904191616766
650,1,2,2,62,8,0,120,60,6,152,413,0.5833333333333334
651,3,4,5,77,9,1,8,98,5,10,220,0.23758099352051837
652,1,7,10,69,8,4,147,86,5,190,527,0.5478170478170478
653,3,1,2,85,8,2,105,75,6,158,445,0.6312056737588653
654,3,1,6,65,6,0,110,69,13,165,438,0.5688311688311688
655,2,2,5,127,7,3,229,46,4,114,539,0.42374213836477986
656,3,0,2,85,2,1,155,16,2,74,340,0.38680318543799774
2301,0,1,2,85,5,2,177,40,0,117,429,0.825
2350,2,1,2,78,3,0,119,32,2,108,347,0.47534246575342465
2520,0,1,8,87,5,2,182,58,7,161,511,0.6033057851239669
2523,1,4,6,109,6,0,154,68,0,125,473,0.5368898978433598
2572,0,0,2,1,0,0,8,1,1,9,22,
